プロトコールNo,投与順序,管理コード,商品名,投与量数値,投与単位,用量根拠,投与Day文字,投与Day数値,投与タイミング,希釈液容量,投与時間文字,投与時間数値,①O欄_抗がん剤,①O欄_支持療法,②シール,③図,④説明書,備考
C34-226,1,SJ001,アロカリス,235,mg,固定用量,d1,1,,ー,30分,30,ー,○,○,○,○,制吐剤（混合Rp）
C34-226,1,SJ004,パロノセトロン,0.75,mg,固定用量,d1,1,,ー,30分,30,ー,○,○,○,○,制吐剤（混合Rp）
C34-226,1,SJ006,デキサート,9.9,mg,固定用量,d1,1,,ー,30分,30,ー,○,○,○,○,制吐剤（混合Rp）
C34-226,内服,SO005,レスタミン,50,mg,固定用量,d1,1,点滴開始と同時に内服してください。,ー,ー,ー,ー,○,○,ー,○,前投薬内服
C34-226,2,AC086,オプジーボ,360,mg,固定用量,d1,1,,100mL,30分,30,○,ー,○,○,○,ー
C34-226,3,AC005,パクリタキセル注,175,mg,BSA依存,d1,1,,500mL,180分,180,○,ー,○,○,○,ー
C34-226,4,AC002,カルボプラチン,5,,AUC依存,d1,1,,250mL,60分,60,○,ー,○,○,○,ー
C99-001,1,SJ001,アロカリス,235,mg,固定用量,d1,1,,ー,30分,30,ー,○,○,○,○,制吐剤（混合Rp）
C99-001,1,SJ006,デキサート,9.9,mg,固定用量,d1,1,,ー,30分,30,ー,○,○,○,○,制吐剤（混合Rp）
C99-001,内服,SO005,レスタミン,50,mg,固定用量,d1,1,点滴開始と同時に内服してください。,ー,ー,ー,ー,○,○,ー,○,前投薬内服
C99-001,2,AC069,リツキシマブBS,375,mg,BSA依存,d1,1,,生食500mL,90分,90,○,ー,○,○,○,ー
C99-001,3,AC009,エンドキサン,750,mg,BSA依存,d1,1,,生食500mL,60分,60,○,ー,○,○,○,ー
C99-001,1,SJ006,デキサート,9.9,mg,固定用量,d2,1,,ー,ー,ー,ー,○,○,ー,○,エンドキサンと混合
C99-001,4,AC037,ドキソルビシン,50,mg,BSA依存,d1,1,,生食100mL,15分,15,○,ー,○,○,○,ー
C99-001,5,AC032,オンコビン,1.4,mg,BSA依存,d1,1,,生食50mL,15分,15,○,ー,○,○,○,ー
C99-001,内服,SO004,プレドニン,100,mg,固定用量,"d1,2,3,4,5",1,1日1回朝食後に内服してください。,ー,ー,ー,ー,○,○,ー,○,d1-5内服
C34-EP,1,IV001,生理食塩液,500,mL,固定用量,Day1〜5,1-5,,500,1時間,1,,,,,○,補液
C34-EP,2,AC031,エトポシド注,100,mg,BSA依存,Day1〜5,1-5,,250,1時間,1,○,,○,○,○,
C34-EP,3,SJ003,グラニセトロン注,3,mg,固定用量,Day1〜5,1-5,,50,15分,0.25,,○,○,○,○,5HT3
C34-EP,3,SJ006,デキサート,6.6,mg,固定用量,Day1,1,,50,15分,0.25,,○,○,○,○,ステロイド
C34-EP,3,IV001,生理食塩液,500,mL,固定用量,Day1〜5,1-5,,500,1時間,1,,,,,○,補液後
C34-EP,6,AC001,シスプラチン注,80,mg,BSA依存,Day1,1,,500,2時間,2,○,,○,○,○,
C34-EP,7,IV001,生理食塩液,500,mL,固定用量,Day1,1,,500,1時間,1,,,,,○,後補液
C25-GnP,1,SJ003,グラニセトロン注,3,mg,固定用量,"Day1,8,15",1|8|15,,50,15分,0.25,,○,○,○,○,5HT3
C25-GnP,2,SJ006,デキサート,6.6,mg,固定用量,"Day1,8,15",1|8|15,,50,15分,0.25,,○,○,○,○,ステロイド
C25-GnP,3,AC006,アブラキサン,125,mg,BSA依存,"Day1,8,15",1|8|15,,100,30分,0.5,○,,○,○,○,nab-PTX
C25-GnP,4,AC024,ゲムシタビン注,1000,mg,BSA依存,"Day1,8,15",1|8|15,,100,30分,0.5,○,,○,○,○,GEM
C34032A3,1,SJ001,アロカリス,235,mg,固定用量,Day1,1,,100,30分,0.5,,○,○,○,○,NK1 混合Rp1
C34032A3,1,SJ004,パロノセトロン,0.75,mg,固定用量,Day1,1,,100,30分,0.5,,○,○,○,○,5HT3 混合Rp1
C34032A3,1,SJ006,デキサート,9.9,mg,固定用量,Day1,1,,100,30分,0.5,,○,○,○,○,ステロイド 混合Rp1
C34032A3,2,AC031,エトポシド注,100,mg,BSA依存,Day1〜3,1-3,,500,2時間,2,○,,○,○,○,
C34032A3,3,SJ021,硫酸Mg補正液,8,mL,固定用量,Day1,1,,500,1時間,1,,○,,○,○,電解質補正 混合Rp3
C34032A3,3,IV004,ソルデム3A輸液,500,mL,固定用量,Day1,1,,500,1時間,1,,○,,○,○,混合Rp3
C34032A3,4,SJ012,マンニットールS,200,mL,固定用量,Day1,1,,200,30分,0.5,,○,,○,○,利尿薬
C34032A3,5,AC001,シスプラチン注,80,mg,BSA依存,Day1,1,,250,1時間,1,○,,○,○,○,混合Rp5
C34032A3,5,IV001,生理食塩液,250,mL,固定用量,Day1,1,,250,1時間,1,,,,○,○,希釈 混合Rp5
C34032A3,6,IV004,ソルデム3A輸液,500,mL,固定用量,Day1,1,,500,1時間,1,,○,,○,○,後補液
C34032A3,7,SJ006,デキサート,6.6,mg,固定用量,Day2〜3,2-3,,50,15分,0.25,,○,,○,○,"ステロイド d2,3"
C34032A3,8,IV001,生理食塩液,50,mL,固定用量,Day2〜3,2-3,,50,5分,0.08,,○,,,○,フラッシュ
